name,city,price,checkin,checkout,rating,plan,star_rating,check_in,check_out,rooms,restaurants,bars
El Cid La Ceiba Beach Resort,Cozumel,1819,"Check-in: Mar 25, 2025","Check-out: Mar 30, 2025",,All Inclusive,7,3:00 p.m.,12:00 p.m.,76.0,2.0,2.0
Coral Princess Hotel & Dive Resort,On the north side of Cozumel island,1919,"Check-in: Mar 25, 2025","Check-out: Mar 30, 2025",,European,8,3:00 p.m.,12:00 p.m.,140.0,1.0,3.0
Tukan Hotel Playa Del Carmen,Playa del Carmen,849,"Check-in: Mar 21, 2025","Check-out: Mar 26, 2025",3.5,European,6,3:00 p.m.,12:00 p.m.,156.0,1.0,1.0
Grand Oasis Tulum Riviera,Akumal,1309,"Check-in: Mar 21, 2025","Check-out: Mar 26, 2025",3.5,All Inclusive,8,3:00 p.m.,12:00 p.m.,206.0,5.0,8.0
Bluebay Grand Esmeralda,Playa del Carmen,1319,"Check-in: Mar 21, 2025","Check-out: Mar 26, 2025",4.0,All Inclusive,8,3:00 p.m.,12:00 p.m.,979.0,6.0,5.0
Grand Oasis Palm,"Cancun’s hotel zone, on Isla Mujeres Bay",1329,"Check-in: Mar 21, 2025","Check-out: Mar 26, 2025",4.0,All Inclusive,8,3:00 p.m.,12:00 p.m.,514.0,7.0,9.0
Grand Oasis Cancun,Cancun’s Hotel Zone,1349,"Check-in: Mar 21, 2025","Check-out: Mar 26, 2025",3.5,All Inclusive,8,3:00 p.m.,12:00 p.m.,1230.0,13.0,15.0
Catalonia Yucatan Beach,Puerto Aventuras,1379,"Check-in: Mar 21, 2025","Check-out: Mar 26, 2025",4.0,All Inclusive,8,3:00 p.m.,12:00 p.m.,205.0,7.0,7.0
Bahia Principe Grand Coba,Tulum,1409,"Check-in: Mar 21, 2025","Check-out: Mar 26, 2025",4.0,All Inclusive,9,3:00 p.m.,12:00 p.m.,1080.0,9.0,7.0
The Sens Tulum Riviera,Akumal,1429,"Check-in: Mar 21, 2025","Check-out: Mar 26, 2025",3.0,All Inclusive,8,3:00 p.m.,12:00 p.m.,94.0,5.0,10.0
The Sens Cancun,Cancun's hotel zone on Isla Mujeres Bay,1469,"Check-in: Mar 21, 2025","Check-out: Mar 26, 2025",4.0,All Inclusive,9,3:00 p.m.,12:00 p.m.,173.0,10.0,12.0
Ocean Coral & Turquesa,Caracol,1509,"Check-in: Mar 21, 2025","Check-out: Mar 26, 2025",4.5,All Inclusive,9,3:00 p.m.,12:00 p.m.,594.0,13.0,9.0
Catalonia Riviera Maya Resort & Spa,Puerto Aventuras,1549,"Check-in: Mar 21, 2025","Check-out: Mar 26, 2025",4.0,All Inclusive,8,3:00 p.m.,12:00 p.m.,423.0,11.0,8.0
Viva Maya By Wyndham,Playa del Carmen,1549,"Check-in: Mar 21, 2025","Check-out: Mar 26, 2025",4.0,All Inclusive,8,3:00 p.m.,12:00 p.m.,604.0,7.0,3.0
Grand Riviera Princess,Playa del Carmen,1549,"Check-in: Mar 21, 2025","Check-out: Mar 26, 2025",4.0,All Inclusive,9,3:00 p.m.,12:00 p.m.,674.0,9.0,9.0
Ocean Riviera Paradise,Playa del Carmen,1559,"Check-in: Mar 21, 2025","Check-out: Mar 26, 2025",4.5,All Inclusive,9,3:00 p.m.,12:00 p.m.,974.0,10.0,12.0
Viva Azteca By Wyndham,Playa del Carmen,1599,"Check-in: Mar 21, 2025","Check-out: Mar 26, 2025",4.5,All Inclusive,8,3:00 p.m.,12:00 p.m.,339.0,5.0,2.0
Seadust Cancun Family Resort,Playa Delfines,1609,"Check-in: Mar 21, 2025","Check-out: Mar 26, 2025",4.5,All Inclusive,8,3:00 p.m.,12:00 p.m.,502.0,10.0,8.0
Krystal Grand Cancun,"Hotel Zone, Cancun",1619,"Check-in: Mar 21, 2025","Check-out: Mar 26, 2025",4.0,All Inclusive,8,3:00 p.m.,12:00 p.m.,400.0,6.0,5.0
The Pyramid Cancun,"Hotel Zone, Cancun",1629,"Check-in: Mar 23, 2025","Check-out: Mar 28, 2025",4.0,All Inclusive,9,3:00 p.m.,12:00 p.m.,442.0,20.0,20.0
Sensira Resort & Spa Riviera Maya,"Petempich Bay, Riviera Maya",1639,"Check-in: Mar 21, 2025","Check-out: Mar 26, 2025",4.5,All Inclusive,0,3:00 p.m.,12:00 p.m.,359.0,8.0,6.0
Wyndham Alltra Playa Del Carmen Adults Only All-inclusive Resort,Playa del Carmen,1649,"Check-in: Mar 21, 2025","Check-out: Mar 26, 2025",4.5,All Inclusive,8,3:00 p.m.,12:00 p.m.,287.0,7.0,3.0
Aloft Tulum,Tulum city centre,1029,"Check-in: Mar 22, 2025","Check-out: Mar 27, 2025",4.5,European,9,3:00 p.m.,12:00 p.m.,140.0,2.0,2.0
Tukan Hotel Playa Del Carmen,Playa del Carmen,1049,"Check-in: Mar 22, 2025","Check-out: Mar 27, 2025",3.5,European,6,3:00 p.m.,12:00 p.m.,156.0,1.0,1.0
Kimpton Aluna Resort Tulum,Aldea Zamna (not on the beach),1139,"Check-in: Mar 22, 2025","Check-out: Mar 27, 2025",4.5,European,9,3:00 p.m.,12:00 p.m.,78.0,2.0,2.0
Siente Tulum,Tulum,1259,"Check-in: Mar 22, 2025","Check-out: Mar 27, 2025",3.5,European,7,3:00 p.m.,12:00 p.m.,83.0,1.0,1.0
Motto By Hilton Tulum,Tulum City Centre,1299,"Check-in: Mar 22, 2025","Check-out: Mar 27, 2025",5.0,European,9,3:00 p.m.,12:00 p.m.,115.0,2.0,2.0
Grand Oasis Tulum Riviera,Akumal,1479,"Check-in: Mar 22, 2025","Check-out: Mar 27, 2025",3.5,All Inclusive,8,3:00 p.m.,12:00 p.m.,206.0,5.0,8.0
Bahia Principe Grand Coba,Tulum,1559,"Check-in: Mar 22, 2025","Check-out: Mar 27, 2025",4.0,All Inclusive,9,3:00 p.m.,12:00 p.m.,1080.0,9.0,7.0
Catalonia Yucatan Beach,Puerto Aventuras,1559,"Check-in: Mar 22, 2025","Check-out: Mar 27, 2025",4.0,All Inclusive,8,3:00 p.m.,12:00 p.m.,205.0,7.0,7.0
The Sens Tulum Riviera,Akumal,1599,"Check-in: Mar 22, 2025","Check-out: Mar 27, 2025",3.0,All Inclusive,8,3:00 p.m.,12:00 p.m.,94.0,5.0,10.0
Catalonia Riviera Maya Resort & Spa,Puerto Aventuras,1729,"Check-in: Mar 22, 2025","Check-out: Mar 27, 2025",4.0,All Inclusive,8,3:00 p.m.,12:00 p.m.,423.0,11.0,8.0
Viva Maya By Wyndham,Playa del Carmen,1749,"Check-in: Mar 22, 2025","Check-out: Mar 27, 2025",4.0,All Inclusive,8,3:00 p.m.,12:00 p.m.,604.0,7.0,3.0
Viva Azteca By Wyndham,Playa del Carmen,1789,"Check-in: Mar 22, 2025","Check-out: Mar 27, 2025",4.5,All Inclusive,8,3:00 p.m.,12:00 p.m.,339.0,5.0,2.0
Wyndham Alltra Playa Del Carmen Adults Only All-inclusive Resort,Playa del Carmen,1819,"Check-in: Mar 22, 2025","Check-out: Mar 27, 2025",4.5,All Inclusive,8,3:00 p.m.,12:00 p.m.,287.0,7.0,3.0
Bahia Principe Luxury Sian Ka'an,Tulum,1849,"Check-in: Mar 22, 2025","Check-out: Mar 27, 2025",4.5,All Inclusive,0,3:00 p.m.,12:00 p.m.,420.0,4.0,5.0
Bahia Principe Grand Tulum,Tulum,1869,"Check-in: Mar 22, 2025","Check-out: Mar 27, 2025",4.0,All Inclusive,9,3:00 p.m.,12:00 p.m.,774.0,8.0,4.0
Bahia Principe Luxury Akumal,Tulum,1999,"Check-in: Mar 22, 2025","Check-out: Mar 27, 2025",4.5,All Inclusive,0,3:00 p.m.,12:00 p.m.,758.0,7.0,8.0
Emotions By Hodelpa Juan Dolio,Juan Dolio,1419,"Check-in: Mar 30, 2025","Check-out: Apr 6, 2025",4.5,All Inclusive,8,3:00 p.m.,12:00 p.m.,409.0,7.0,4.0
Viva Miches By Wyndham,"Miches, Punta Cana",1519,"Check-in: Mar 23, 2025","Check-out: Mar 30, 2025",4.5,All Inclusive,8,3:00 p.m.,12:00 p.m.,538.0,7.0,4.0
